Time(Sec),Frame,LO(m),AO(deg)
0.00000,0001,0.00000,49.93730
0.01026,0002,0.00000,49.91667
0.01667,0003,0.00000,49.91667
0.02228,0004,0.00000,49.91667
0.03476,0005,0.00000,49.91380
0.03875,0006,0.00000,49.91380
0.15536,0007,0.00000,49.90464
0.31904,0008,0.00000,49.89719
0.49491,0009,0.00000,49.89604
0.64468,0010,0.00000,49.88458
0.81430,0011,0.00000,49.88458
0.97661,0012,0.00000,49.88458
1.14171,0013,0.00000,49.88516
1.32179,0014,0.00000,49.88172
1.47525,0015,0.00000,49.87656
1.68022,0016,0.00000,49.86740
1.80367,0017,0.00000,49.86740
2.01371,0018,0.00000,49.86740
2.18850,0019,0.00000,49.86854
2.30670,0020,0.00000,49.86854
2.49706,0021,0.00000,49.85021
2.63279,0022,0.00000,49.84390
2.84476,0023,0.00000,49.84390
2.96504,0024,0.00000,49.84390
3.13624,0025,0.00000,49.84390
3.30411,0026,0.00000,49.84390
3.51724,0027,0.00000,49.83015
3.62938,0028,0.00000,49.83015
3.79700,0029,0.00000,49.83015
3.96383,0030,0.00000,49.82901
4.13339,0031,0.00000,49.82901
4.31946,0032,0.00000,49.82385
4.46867,0033,0.00000,49.82385
4.62979,0034,0.00000,49.82385
4.79932,0035,0.00000,49.82156
4.96562,0036,0.00000,49.82156
5.13341,0037,0.00000,49.80380
5.34030,0038,0.00000,49.80380
5.46614,0039,0.00000,49.80494
5.63380,0040,0.00000,49.80494
5.79758,0041,0.00000,49.80322
5.96583,0042,0.00000,49.80723
6.13836,0043,0.00000,49.80723
6.29883,0044,0.00000,49.80723
6.48945,0045,0.00000,49.80322
6.64111,0046,-0.09885,-2.95719
6.79740,0047,-0.09885,-2.95719
6.96611,0048,-0.09895,-2.96636
7.13485,0049,-0.09895,-2.96636
7.32240,0050,-0.09895,-2.96636
7.46282,0051,-0.09895,-2.96636
7.63032,0052,-0.09895,-2.96464
7.80389,0053,-0.09895,-2.96464
7.96419,0054,-0.05090,-2.96464
8.13937,0055,-0.05090,-2.96464
8.32280,0056,-0.05086,-2.96177
8.46384,0057,-0.05086,-2.96177
8.64137,0058,-0.05086,-2.96177
8.79948,0059,-0.05086,-2.96177
8.98728,0060,-0.05086,-2.96177
9.14587,0061,-0.05086,-2.96177
9.31438,0062,-0.05086,-2.96177
9.46513,0063,-0.05089,-2.96636
9.63258,0064,-0.05089,-2.96636
9.79796,0065,-0.04956,-2.96636
9.96872,0066,-0.04956,-2.96636
10.15650,0067,-0.04956,-2.96636
10.30554,0068,-0.04956,-2.96636
10.46515,0069,-0.04958,-2.96750
10.63163,0070,-0.04980,-2.98183
10.79872,0071,-0.04980,-2.98183
10.98145,0072,-0.04980,-2.98183
11.13128,0073,-0.04980,-2.98183
11.32566,0074,-0.04980,-2.98183
11.46308,0075,-0.04980,-2.98183
11.63053,0076,-0.02031,-1.46820
11.80033,0077,-0.02030,-1.47164
11.96621,0078,-0.02030,-1.47164
12.13732,0079,-0.02030,-1.47164
12.29968,0080,-0.02030,-1.47164
12.47782,0081,-0.02030,-1.47164
12.65019,0082,-0.00257,-1.47164
12.79933,0083,-0.00266,-1.47393
12.96492,0084,-0.00275,-1.48424
13.13175,0085,-0.00275,-1.48424
13.29679,0086,-0.00275,-1.48424
13.48097,0087,-0.00275,-1.48424
13.63387,0088,-0.00275,-1.48424
13.79762,0089,-0.00481,-1.48424
13.96750,0090,-0.00481,-1.48253
14.13493,0091,-0.00481,-1.48253
14.31298,0092,-0.00481,-1.48253
14.46771,0093,-0.00481,-1.48253
14.63112,0094,-0.00481,-1.48253
14.79668,0095,-0.00481,-1.48253
14.88630,0096,-0.00483,-1.47680
14.88630,0097,0.01763,0.21453
15.07912,0098,0.01759,0.20937
15.21390,0099,0.01759,0.20937
15.37813,0100,0.01759,0.20937
15.55407,0101,0.01759,0.20937
15.75552,0102,0.01759,0.20937
15.87317,0103,0.01759,0.20937
16.07936,0104,0.02263,0.20765
16.20566,0105,0.02263,0.20765
16.37456,0106,0.02263,0.20765
16.58908,0107,0.02263,0.20765
16.70208,0108,0.02263,0.20765
16.90859,0109,0.02263,0.20765
17.04055,0110,0.02263,0.20765
17.20074,0111,0.01588,0.20364
17.38471,0112,0.01584,0.20192
17.57219,0113,0.01584,0.20192
17.69654,0114,0.03325,-1.16307
17.90716,0115,0.03325,-1.16307
18.03405,0116,0.03325,-1.16307
18.19360,0117,0.05078,-3.35750
18.38174,0118,0.04994,-3.45375
18.52276,0119,0.05333,-3.32942
18.69149,0120,0.12784,4.66250
18.85970,0121,0.12739,4.72151
19.02154,0122,0.12929,4.76448
19.18657,0123,0.12668,4.69458
19.35505,0124,0.12795,4.73813
19.51673,0125,0.15248,4.82121
19.68546,0126,0.15147,4.75875
19.84924,0127,0.14683,4.70031
20.01377,0128,0.15111,4.85788
20.18148,0129,0.15227,4.89512
20.36226,0130,0.14741,4.82808
20.51097,0131,0.14581,4.82121
20.67868,0132,0.16769,6.28806
20.84142,0133,0.16228,6.26285
21.01055,0134,0.16432,6.37056
21.21224,0135,0.16689,6.36655
21.33828,0136,0.16828,6.40036
21.50955,0137,0.17379,6.59287
21.71287,0138,0.16735,6.61694
21.83590,0139,0.16846,6.67251
22.00428,0140,0.17208,6.28462
22.20775,0141,0.13563,3.04195
22.33125,0142,0.13422,2.92564
22.51286,0143,0.11625,0.74611
22.66285,0144,0.06918,0.61261
22.82956,0145,0.06822,0.56734
22.99687,0146,0.06936,0.64870
23.16887,0147,0.07183,0.56562
23.32540,0148,0.06092,-0.63587
23.51833,0149,-0.03795,-2.18744
23.65622,0150,-0.04347,-2.94374
23.85470,0151,-0.04350,-3.22392
23.98994,0152,-0.04504,-3.25257
24.15646,0153,-0.04544,-3.12881
24.32235,0154,-0.04364,-2.95921
24.48406,0155,-0.04157,-2.86525
24.65323,0156,-0.06987,-2.79191
24.81704,0157,-0.06803,-2.73977
24.99169,0158,-0.06533,-2.57762
25.15295,0159,-0.06335,-2.51746
25.31273,0160,-0.06336,-2.48710
25.47811,0161,-0.06395,-2.39886
25.64295,0162,-0.08753,-1.30899
25.81180,0163,-0.08420,-1.20299
25.97442,0164,-0.08101,-1.09298
26.14076,0165,-0.08223,-1.02365
26.30484,0166,-0.08072,-0.89760
26.47043,0167,-0.07325,-0.68675
26.63938,0168,-0.09388,-0.61571
26.80480,0169,-0.09758,-0.57274
26.97149,0170,-0.09888,-0.49596
27.13652,0171,-0.09497,-0.29542
27.29866,0172,-0.09157,-0.17969
27.46765,0173,-0.09269,-0.12468
27.63282,0174,-0.11768,-0.01697
27.79679,0175,-0.11326,0.18930
27.96876,0176,-0.11009,0.32681
28.15700,0177,-0.11228,0.40931
28.29531,0178,-0.11347,0.51130
28.46042,0179,-0.10875,0.71757
28.62972,0180,-0.11503,0.79377
28.80202,0181,-0.11470,0.93414
28.96842,0182,-0.11253,1.12838
29.17197,0183,-0.10972,1.26761
29.29484,0184,-0.11101,1.27047
29.46126,0185,-0.11194,1.28136
29.62693,0186,-0.12170,1.31139
29.79547,0187,-0.12188,1.41223
29.96464,0188,-0.12077,1.46265
30.13192,0189,-0.11973,1.55031
30.29513,0190,-0.11842,1.69527
30.46013,0191,-0.11571,1.81559
30.62835,0192,-0.11570,1.76861
30.79378,0193,-0.11673,1.84481
30.79378,0194,-0.11923,1.88664
30.95815,0195,-0.11918,1.89466
31.13615,0196,-0.12044,1.93133
31.28989,0197,-0.12099,1.94050
31.45901,0198,-0.12103,2.03904
31.62670,0199,-0.07517,2.16624
31.79242,0200,-0.07389,2.18687
31.95777,0201,-0.07384,2.14848
32.15075,0202,-0.07420,2.14905
32.29236,0203,-0.07297,2.19202
32.45940,0204,-0.07103,2.42522
32.62668,0205,0.02151,3.14179
32.79402,0206,0.02839,4.19432
32.95746,0207,0.03554,5.27063
33.12673,0208,0.04121,6.34722
33.29004,0209,0.04464,7.56877
33.45680,0210,0.04835,8.75250
33.62460,0211,0.08422,10.08348
33.79177,0212,0.08884,11.15147
33.95919,0213,0.09225,11.86652
34.12395,0214,0.09215,11.97539
34.29017,0215,0.09124,12.09972
34.47057,0216,0.09260,12.04414
34.62679,0217,0.14068,11.89689
34.81567,0218,0.13865,11.78230
34.95940,0219,0.13500,11.72386
35.12931,0220,0.13244,11.68432
35.29076,0221,0.13116,11.67630
35.47740,0222,0.12874,11.59380
35.62336,0223,0.14667,11.74593
35.79215,0224,0.14873,11.78031
35.95870,0225,0.14976,11.81412
36.12328,0226,0.14784,11.74135
36.29129,0227,0.14688,11.69322
36.45766,0228,0.14743,11.68463
36.62758,0229,0.18683,11.75968
36.79559,0230,0.18854,11.77745
36.95713,0231,0.18704,11.62217
37.14002,0232,0.18832,11.65712
37.29002,0233,0.19177,11.73734
37.45772,0234,0.19159,11.72473
37.65347,0235,0.18846,11.57691
37.79393,0236,0.18920,11.57405
37.95794,0237,0.19336,11.69322
38.12562,0238,0.19445,11.52420
38.29214,0239,0.18773,10.95239
38.46085,0240,0.18480,10.51064
38.62731,0241,0.13013,10.04425
38.79476,0242,0.12067,9.18710
38.96141,0243,0.11173,8.22912
39.14133,0244,0.09879,7.00528
39.29521,0245,0.09225,6.19913
39.45721,0246,0.08061,5.06639
39.62719,0247,0.00222,3.60342
39.79256,0248,0.00263,2.62481
39.92427,0249,-0.01182,1.72126
40.04418,0250,-0.01631,1.15403
40.21207,0251,-0.02162,0.19834
40.37912,0252,-0.02456,-0.64391
40.54347,0253,-0.08945,-1.61221
40.74936,0254,-0.09911,-2.73807
40.87594,0255,-0.10267,-3.35114
41.08995,0256,-0.10619,-4.40595
41.20448,0257,-0.11100,-5.01042
41.36879,0258,-0.11754,-5.66130
41.53660,0259,-0.16483,-5.66417
41.70556,0260,-0.16326,-5.64411
41.86700,0261,-0.16205,-5.45618
42.03108,0262,-0.15848,-5.30951
42.19888,0263,-0.15280,-5.02589
42.36353,0264,-0.15255,-4.93422
42.56266,0265,-0.16782,-4.77551
42.69503,0266,-0.16405,-4.64545
42.90377,0267,-0.15961,-4.48731
43.02527,0268,-0.15604,-4.32402
43.19576,0269,-0.15943,-4.30912
43.40568,0270,-0.15921,-4.08051
43.52054,0271,-0.15857,-4.05072
43.69245,0272,-0.14347,-3.95792
43.85937,0273,-0.14599,-3.91495
44.01877,0274,-0.14807,-3.65769
44.23974,0275,-0.13494,-2.70486
44.34967,0276,-0.12126,-1.77094
44.52746,0277,-0.11347,-0.86853
44.67922,0278,-0.03059,0.12555
44.84746,0279,-0.02428,0.97066
45.01120,0280,-0.02232,1.69947
45.23686,0281,-0.01836,3.26421
45.34439,0282,-0.01816,3.32266
45.51143,0283,-0.01279,4.27808
45.67273,0284,0.01114,5.37300
45.84265,0285,0.01210,6.10582
46.00444,0286,0.01470,6.80081
46.17604,0287,0.02091,7.65166
46.33691,0288,0.02303,7.71984
46.54020,0289,0.02440,7.79547
46.66764,0290,0.02509,7.71926
46.83420,0291,0.02461,7.61556
46.83420,0292,0.09583,9.46442
47.04631,0293,0.09583,9.46442
47.16485,0294,0.09769,10.37428
47.33289,0295,0.10246,10.70316
47.49906,0296,0.09961,10.66534
47.67892,0297,0.13002,10.58169
47.83186,0298,0.12775,10.48715
48.03670,0299,0.13192,10.36053
48.17752,0300,0.13117,10.28547
48.32417,0301,0.13050,10.29865
48.49246,0302,0.13214,10.30151
48.65754,0303,0.14357,10.33646
48.82605,0304,0.14026,10.24193
48.99054,0305,0.13576,10.04254
49.15429,0306,0.13394,10.03222
49.31805,0307,0.13319,10.00300
49.48409,0308,0.12949,9.89701
49.65172,0309,0.14933,8.44151
49.85232,0310,0.14949,8.49651
49.98364,0311,0.14987,8.48963
50.14694,0312,0.15116,8.50339
50.31060,0313,0.15052,8.41859
50.47733,0314,0.14927,8.37905
50.64290,0315,0.17659,8.47359
50.82339,0316,0.17946,8.37905
51.02080,0317,0.17588,8.31947
51.17494,0318,0.17243,8.27191
51.30417,0319,0.17324,8.37447
51.47218,0320,0.17495,8.42145
51.64137,0321,0.19537,8.39166
51.80276,0322,0.19481,8.41572
51.99369,0323,0.19933,8.50682
52.13348,0324,0.20253,8.55323
